nil	cat	day	diff
20	Arts & Entertainment	2014-09-04	0
20	Arts & Entertainment	2014-09-05	1
20	Arts & Entertainment	2014-09-06	0
20	Arts & Entertainment	2014-09-07	1
20	Food	2014-09-02	4
20	Food	2014-09-03	2
20	Food	2014-09-04	0
20	Food	2014-09-05	14
20	Food	2014-09-06	20
20	Food	2014-09-07	17
20	Nightlife Spot	2014-09-02	0
20	Nightlife Spot	2014-09-03	1
20	Nightlife Spot	2014-09-04	1
20	Nightlife Spot	2014-09-05	3
20	Nightlife Spot	2014-09-06	6
20	Nightlife Spot	2014-09-07	6
20	Outdoors & Recreation	2014-09-02	2
20	Outdoors & Recreation	2014-09-03	3
20	Outdoors & Recreation	2014-09-04	3
20	Outdoors & Recreation	2014-09-05	7
20	Outdoors & Recreation	2014-09-06	2
20	Outdoors & Recreation	2014-09-07	3
20	Professional & Other Places	2014-09-02	0
20	Professional & Other Places	2014-09-03	4
20	Professional & Other Places	2014-09-04	2
20	Professional & Other Places	2014-09-05	3
20	Professional & Other Places	2014-09-06	10
20	Professional & Other Places	2014-09-07	0
20	Shop & Service	2014-09-02	1
20	Shop & Service	2014-09-03	7
20	Shop & Service	2014-09-04	7
20	Shop & Service	2014-09-05	5
20	Shop & Service	2014-09-06	6
20	Shop & Service	2014-09-07	0
20	Travel & Transport	2014-09-02	3
20	Travel & Transport	2014-09-03	22
20	Travel & Transport	2014-09-04	11
20	Travel & Transport	2014-09-05	22
20	Travel & Transport	2014-09-06	20
20	Travel & Transport	2014-09-07	7
21	Arts & Entertainment	2014-09-02	3
21	Arts & Entertainment	2014-09-03	3
21	Arts & Entertainment	2014-09-04	1
21	Arts & Entertainment	2014-09-05	1
21	Arts & Entertainment	2014-09-06	8
21	Arts & Entertainment	2014-09-07	4
21	College & University	2014-09-02	0
21	College & University	2014-09-03	2
21	College & University	2014-09-04	1
21	College & University	2014-09-05	2
21	College & University	2014-09-06	0
21	College & University	2014-09-07	0
21	Food	2014-09-02	32
21	Food	2014-09-03	64
21	Food	2014-09-04	57
21	Food	2014-09-05	59
21	Food	2014-09-06	58
21	Food	2014-09-07	97
21	Nightlife Spot	2014-09-02	2
21	Nightlife Spot	2014-09-03	19
21	Nightlife Spot	2014-09-04	6
21	Nightlife Spot	2014-09-05	16
21	Nightlife Spot	2014-09-06	21
21	Nightlife Spot	2014-09-07	28
21	Outdoors & Recreation	2014-09-02	4
21	Outdoors & Recreation	2014-09-03	12
21	Outdoors & Recreation	2014-09-04	7
21	Outdoors & Recreation	2014-09-05	11
21	Outdoors & Recreation	2014-09-06	8
21	Outdoors & Recreation	2014-09-07	11
21	Professional & Other Places	2014-09-02	0
21	Professional & Other Places	2014-09-03	14
21	Professional & Other Places	2014-09-04	7
21	Professional & Other Places	2014-09-05	12
21	Professional & Other Places	2014-09-06	9
21	Professional & Other Places	2014-09-07	2
21	Shop & Service	2014-09-02	7
21	Shop & Service	2014-09-03	18
21	Shop & Service	2014-09-04	13
21	Shop & Service	2014-09-05	10
21	Shop & Service	2014-09-06	17
21	Shop & Service	2014-09-07	19
21	Travel & Transport	2014-09-02	15
21	Travel & Transport	2014-09-03	13
21	Travel & Transport	2014-09-04	18
21	Travel & Transport	2014-09-05	19
21	Travel & Transport	2014-09-06	27
21	Travel & Transport	2014-09-07	27
22	Arts & Entertainment	2014-09-02	1
22	Arts & Entertainment	2014-09-03	1
22	Arts & Entertainment	2014-09-04	0
22	Arts & Entertainment	2014-09-05	0
22	Arts & Entertainment	2014-09-06	0
22	Arts & Entertainment	2014-09-07	2
22	College & University	2014-09-02	2
22	College & University	2014-09-03	14
22	College & University	2014-09-04	9
22	College & University	2014-09-05	9
22	College & University	2014-09-06	6
22	College & University	2014-09-07	0
22	Food	2014-09-02	5
22	Food	2014-09-03	15
22	Food	2014-09-04	6
22	Food	2014-09-05	13
22	Food	2014-09-06	7
22	Food	2014-09-07	10
22	Nightlife Spot	2014-09-02	4
22	Nightlife Spot	2014-09-03	9
22	Nightlife Spot	2014-09-04	4
22	Nightlife Spot	2014-09-05	13
22	Nightlife Spot	2014-09-06	8
22	Nightlife Spot	2014-09-07	7
22	Outdoors & Recreation	2014-09-02	1
22	Outdoors & Recreation	2014-09-03	7
22	Outdoors & Recreation	2014-09-04	11
22	Outdoors & Recreation	2014-09-05	1
22	Outdoors & Recreation	2014-09-06	2
22	Outdoors & Recreation	2014-09-07	13
22	Professional & Other Places	2014-09-02	1
22	Professional & Other Places	2014-09-03	2
22	Professional & Other Places	2014-09-04	5
22	Professional & Other Places	2014-09-05	4
22	Professional & Other Places	2014-09-06	4
22	Professional & Other Places	2014-09-07	1
22	Shop & Service	2014-09-02	1
22	Shop & Service	2014-09-03	3
22	Shop & Service	2014-09-04	4
22	Shop & Service	2014-09-05	2
22	Shop & Service	2014-09-06	3
22	Shop & Service	2014-09-07	3
22	Travel & Transport	2014-09-02	2
22	Travel & Transport	2014-09-03	4
22	Travel & Transport	2014-09-04	3
22	Travel & Transport	2014-09-05	2
22	Travel & Transport	2014-09-06	7
22	Travel & Transport	2014-09-07	1
23	Arts & Entertainment	2014-09-02	0
23	Arts & Entertainment	2014-09-03	0
23	Arts & Entertainment	2014-09-04	15
23	Arts & Entertainment	2014-09-05	17
23	Arts & Entertainment	2014-09-06	5
23	Arts & Entertainment	2014-09-07	4
23	College & University	2014-09-02	0
23	College & University	2014-09-03	1
23	College & University	2014-09-04	1
23	College & University	2014-09-05	1
23	College & University	2014-09-06	0
23	College & University	2014-09-07	2
23	Food	2014-09-02	1
23	Food	2014-09-03	6
23	Food	2014-09-04	6
23	Food	2014-09-05	8
23	Food	2014-09-06	5
23	Food	2014-09-07	3
23	Nightlife Spot	2014-09-02	0
23	Nightlife Spot	2014-09-03	0
23	Nightlife Spot	2014-09-04	4
23	Nightlife Spot	2014-09-05	2
23	Nightlife Spot	2014-09-06	0
23	Nightlife Spot	2014-09-07	0
23	Outdoors & Recreation	2014-09-02	2
23	Outdoors & Recreation	2014-09-03	0
23	Outdoors & Recreation	2014-09-04	0
23	Outdoors & Recreation	2014-09-05	0
23	Outdoors & Recreation	2014-09-06	3
23	Outdoors & Recreation	2014-09-07	2
